# If_outlier, Correct_cluster_id, Damage_fields
1,0,[9]
1,1,[5]
1,0,[9]
1,1,[9]
1,1,[5]
1,0,[9]
0,0,0
1,2,[5]
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,[5, 7]
1,3,[2, 3, 12, 9]
0,0,0
0,0,0
0,0,0
1,1,[9]
1,1,[9]
0,0,0
1,1,[9]
1,0,[9]
0,0,0
1,1,[5]
0,1,[2, 3, 7, 8]
0,0,0
1,1,[5, 8, 9]
1,0,[9]
1,0,[9]
1,1,[9]
1,0,[9]
1,1,[9]
0,0,0
1,5,[9]
0,0,0
1,1,[9]
0,0,0
1,1,[9]
0,0,0
0,0,0
1,2,[8]
1,0,[9]
1,1,[9]
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
1,0,[9]
0,0,0
1,0,[9]
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
1,3,[2, 3, 12, 9]
0,0,0
1,1,[9]
0,0,0
1,0,[9]
1,0,[9]
0,0,0
0,0,0
1,1,[9]
1,0,[9]
0,0,0
1,1,[5]
1,0,[9]
1,0,[9]
1,1,[8, 9]
0,0,0
1,1,[8, 9]
1,1,[5, 9]
1,0,[9]
1,1,[9]
0,0,0
1,0,[9]
0,0,0
1,0,[9]
1,1,[5, 9]
1,0,[9]
1,1,[9]
1,1,[9]
0,0,0
1,1,[9]
1,0,[9]
1,1,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,3,[2, 3, 12, 9]
1,0,[9]
0,0,0
1,0,[9]
0,0,0
1,1,[9]
1,0,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
1,5,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,3,[2, 3, 12, 9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,1,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,[5]
1,1,[5, 9]
1,5,[9]
0,0,0
1,0,[9]
1,1,[9]
1,0,[9]
1,1,[5, 9]
1,0,[9]
0,0,0
1,0,[9]
0,0,0
0,0,0
1,0,[9]
0,0,0
1,3,[2, 3, 12, 9]
1,0,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
1,0,[9]
0,0,0
1,0,[9]
1,0,[9]
1,1,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
1,3,[2, 3, 12, 9]
0,0,0
1,0,[9]
1,1,[9]
0,0,0
0,0,0
1,0,[9]
1,0,[9]
0,0,0
1,0,[9]
1,1,[9]
1,1,[9]
0,0,0
1,5,[9]
0,0,0
1,0,[9]
0,0,0
1,0,[9]
0,0,0
1,0,[9]
1,0,[9]
0,0,0
1,0,[9]
0,0,0
1,0,[9]
1,1,[9]
1,0,[9]
1,0,[9]
0,0,0
1,0,[9]
1,0,[9]
1,0,[9]
1,1,[9]
1,3,[2, 3, 12, 9]
1,0,[9]
1,1,[9]
1,0,[9]
1,0,[9]
0,0,0
1,0,[9]
1,0,[9]
1,1,[9]
1,5,[9]
1,0,[9]
1,0,[9]
0,0,0
1,0,[9]
1,0,[9]
1,0,[9]
1,0,[9]
1,3,[2, 3, 12]
0,0,0
1,0,[9]
1,1,[9]
1,0,[9]
1,0,[9]
1,0,[9]
0,0,0
1,1,[9]
0,0,0
1,1,[9]
1,5,[9]
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
